filename,filesize_kb,gbl_fileSize_s,sequoia,public_link
Arizona_CAPAqueduct_2002.zip,24.42,0.02 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CAPAqueduct_2002.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZDWR/CentralArizonaProject/2002/Arizona_CAPAqueduct_2002.zip
Arizona_CausesOfDeath_2000.zip,97.68,0.10 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CausesOfDeath_2000.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZDHS/CausesOfDeath/2000/Arizona_CausesOfDeath_2000.zip
Arizona_CensusPlaces_1870.zip,42.83,0.04 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CensusPlaces_1870.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USCB/Geography/Arizona/Places/1870/Arizona_CensusPlaces_1870.zip
Arizona_CensusPlaces_1880.zip,47.41,0.05 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CensusPlaces_1880.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USCB/Geography/Arizona/Places/1880/Arizona_CensusPlaces_1880.zip
Arizona_CensusPlaces_1890.zip,46.81,0.05 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CensusPlaces_1890.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USCB/Geography/Arizona/Places/1890/Arizona_CensusPlaces_1890.zip
Arizona_CensusPlaces_1900.zip,18.73,0.02 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CensusPlaces_1900.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USCB/Geography/Arizona/Places/1900/Arizona_CensusPlaces_1900.zip
Arizona_CensusPlaces_1910.zip,61.37,0.06 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CensusPlaces_1910.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USCB/Geography/Arizona/Places/1910/Arizona_CensusPlaces_1910.zip
Arizona_CensusPlaces_1920.zip,30.49,0.03 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CensusPlaces_1920.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USCB/Geography/Arizona/Places/1920/Arizona_CensusPlaces_1920.zip
Arizona_CensusPlaces_1930.zip,36.42,0.04 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CensusPlaces_1930.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USCB/Geography/Arizona/Places/1930/Arizona_CensusPlaces_1930.zip
Arizona_CensusPlaces_1940.zip,39.47,0.04 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CensusPlaces_1940.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USCB/Geography/Arizona/Places/1940/Arizona_CensusPlaces_1940.zip
Arizona_CensusPlaces_1950.zip,70.89,0.07 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CensusPlaces_1950.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USCB/Geography/Arizona/Places/1950/Arizona_CensusPlaces_1950.zip
Arizona_CensusPlaces_1960.zip,141.16,0.14 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CensusPlaces_1960.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USCB/Geography/Arizona/Places/1960/Arizona_CensusPlaces_1960.zip
Arizona_CensusPlaces_1970.zip,141.96,0.14 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CensusPlaces_1970.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USCB/Geography/Arizona/Places/1970/Arizona_CensusPlaces_1970.zip
Arizona_ChlamydiaRates_2000.zip,101.03,0.10 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_ChlamydiaRates_2000.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZDHS/ChlamydiaRates/2000/Arizona_ChlamydiaRates_2000.zip
Arizona_CountySubdivisions_1930.zip,634.56,0.62 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CountySubdivisions_1930.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USCB/Geography/Arizona/County_Subdivisions/1930/Arizona_CountySubdivisions_1930.zip
Arizona_CountySubdivisions_1940.zip,568.15,0.55 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CountySubdivisions_1940.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USCB/Geography/Arizona/County_Subdivisions/1940/Arizona_CountySubdivisions_1940.zip
Arizona_CountySubdivisions_1950.zip,570.34,0.56 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CountySubdivisions_1950.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USCB/Geography/Arizona/County_Subdivisions/1950/Arizona_CountySubdivisions_1950.zip
Arizona_CountySubdivisions_1960.zip,1215.59,1.19 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CountySubdivisions_1960.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USCB/Geography/Arizona/County_Subdivisions/1960/Arizona_CountySubdivisions_1960.zip
Arizona_CountySubdivisions_1970.zip,1194.12,1.17 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_CountySubdivisions_1970.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USCB/Geography/Arizona/County_Subdivisions/1970/Arizona_CountySubdivisions_1970.zip
Arizona_DateExtremeLatestSnowfall_1961to1990.zip,64.93,0.06 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_DateExtremeLatestSnowfall_1961to1990.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/NOAA/Snowfall/1990/Arizona_DateExtremeLatestSnowfall_1961to1990.zip
Arizona_EPASuperfund_1997.zip,17.58,0.02 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_EPASuperfund_1997.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USEPA/SuperfundSites/1997/Arizona_EPASuperfund_1997.zip
Arizona_FirearmDeaths_1990to2000.zip,103.66,0.10 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_FirearmDeaths_1990to2000.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZDHS/FirearmDeaths/2000/Arizona_FirearmDeaths_1990to2000.zip
Arizona_GeneralSoilGroups_1975.zip,732.05,0.71 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_GeneralSoilGroups_1975.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZSLD/Soil/1975/Arizona_GeneralSoilGroups_1975.zip
Arizona_GeologicFaults_2000.zip,283.25,0.28 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_GeologicFaults_2000.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZGS/Faults/Arizona/GeologicFaults/2000/Arizona_GeologicFaults_2000.zip
Arizona_GeologicFormations_2000.zip,3839.51,3.75 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_GeologicFormations_2000.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZSLD/Geology/Arizona_GeologicFormations_2000.zip
Arizona_GFRs_1981.zip,231.8,0.23 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_GFRs_1981.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZDWR/Groundwater/1981/Arizona_GFRs_1981.zip
Arizona_GonorrheaIncidence_2000.zip,101.09,0.10 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_GonorrheaIncidence_2000.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZDHS/GonorrheaIncidence/2000/Arizona_GonorrheaIncidence_2000.zip
Arizona_GroundSubsidence_2014.zip,44.16,0.04 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_GroundSubsidence_2014.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZDWR/Subsidence/2014/Arizona_GroundSubsidence_2014.zip
Arizona_GroundwaterBasins_2015.zip,2318.68,2.26 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_GroundwaterBasins_2015.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZDWR/Groundwater/2015/Arizona_GroundwaterBasins_2015.zip
Arizona_GSFs_2015.zip,167.15,0.16 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_GSFs_2015.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZDWR/Groundwater/2015/Arizona_GSFs_2015.zip
Arizona_HepatitisAIncidence_2000.zip,101.12,0.10 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_HepatitisAIncidence_2000.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZDHS/HepatitisIncidence/2000/Arizona_HepatitisAIncidence_2000.zip
Arizona_HepatitisBIncidence_2000.zip,101.12,0.10 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_HepatitisBIncidence_2000.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZDHS/HepatitisIncidence/2000/Arizona_HepatitisBIncidence_2000.zip
Arizona_HighPotentialLargeScaleSolar_2014.zip,391253.22,382.08 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_HighPotentialLargeScaleSolar_2014.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/UA_CooperativeExtension/Arizona_Regional_Energy_Opporunity_Analysis/Arizona/HighPotentialLargeScaleSolar/2014/Arizona_HighPotentialLargeScaleSolar_2014.zip
Arizona_HighPotentialSmallScaleSolar_2014.zip,290571.34,283.76 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_HighPotentialSmallScaleSolar_2014.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/UA_CooperativeExtension/Arizona_Regional_Energy_Opporunity_Analysis/Arizona/HighPotentialSmallScaleSolar/2014/Arizona_HighPotentialSmallScaleSolar_2014.zip
Arizona_IGFRs_1979.zip,4958.96,4.84 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_IGFRs_1979.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZDWR/ActiveManagementAreas_IrrigationNonExpansionAreas/1979/Arizona_IGFRs_1979.zip
Arizona_Interstates_1988.zip,98.43,0.10 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_Interstates_1988.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZSLD/Roads/1988/Arizona_Interstates_1988.zip
Arizona_IrrigationDistricts_2014.zip,372.88,0.36 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_IrrigationDistricts_2014.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZDWR/IrrigationDistricts/2014/Arizona_IrrigationDistricts_2014.zip
Arizona_KMDA_1993.zip,5964.85,5.83 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_KMDA_1993.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZSLD/Mines/1993/Arizona_KMDA_1993.zip
Arizona_Lakes_1974.zip,2106.26,2.06 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_Lakes_1974.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZSLD/Lakes/1974/Arizona_Lakes_1974.zip
Arizona_LandOwnership_1988.zip,6687.63,6.53 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_LandOwnership_1988.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZSLD/LandOwnership/1988/Arizona_LandOwnership_1988.zip
Arizona_LarcenyTheftRates_1990to2001.zip,103.89,0.10 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_LarcenyTheftRates_1990to2001.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/AZDHS/LarcenyRates/2001/Arizona_LarcenyTheftRates_1990to2001.zip
Arizona_Last32DegFTempSpring_1961to1990.zip,56.33,0.06 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_Last32DegFTempSpring_1961to1990.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/NOAA/Temperature/1990/Arizona_Last32DegFTempSpring_1961to1990.zip
Arizona_Level3EcoRegions_2013.zip,525.04,0.51 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_Level3EcoRegions_2013.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/USEPA/Ecoregions/2013/Arizona_Level3EcoRegions_2013.zip
